strain,virus,date,region,country,division,location
reference_NC_015663v1.fna,Klebsiella aerogenes,2011-06-03,?,?,?,?
GCF_003950615.1_ASM395061v1_genomic.fna,Klebsiella aerogenes,2015-XX-XX,?,USA,New York,URMC
GCF_003950545.1_ASM395054v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003951235.1_ASM395123v1_genomic.fna,Klebsiella aerogenes,2016-XX-XX,?,USA,New York,URMC
GCF_003951185.1_ASM395118v1_genomic.fna,Klebsiella aerogenes,2016-XX-XX,?,USA,New York,URMC
GCF_003951605.1_ASM395160v1_genomic.fna,Klebsiella aerogenes,2016-XX-XX,?,USA,New York,URMC
GCF_003951175.1_ASM395117v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003952045.1_ASM395204v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003951245.1_ASM395124v1_genomic.fna,Klebsiella aerogenes,2015-XX-XX,?,USA,New York,URMC
GCF_003950535.1_ASM395053v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003952915.1_ASM395291v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003951635.1_ASM395163v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003951115.1_ASM395111v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003951195.1_ASM395119v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003952145.1_ASM395214v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003952055.1_ASM395205v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003952035.1_ASM395203v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003952105.1_ASM395210v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003950635.1_ASM395063v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003950575.1_ASM395057v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003952905.1_ASM395290v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003950595.1_ASM395059v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003952125.1_ASM395212v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003951575.1_ASM395157v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003951615.1_ASM395161v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003951535.1_ASM395153v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCF_003951125.1_ASM395112v1_genomic.fna,Klebsiella aerogenes,2017-XX-XX,?,USA,New York,URMC
GCA_000957485.1_ASM95748v1_genomic.fna,Klebsiella aerogenes,2010-XX-XX,?,USA,?,USA
GCA_000957525.1_ASM95752v1_genomic.fna,Klebsiella aerogenes,2011-XX-XX,?,USA,?,USA
GCA_000956775.1_ASM95677v1_genomic.fna,Klebsiella aerogenes,2011-XX-XX,?,?,?,?
GCA_000958075.1_ASM95807v1_genomic.fna,Klebsiella aerogenes,2012-XX-XX,?,USA,?,USA
GCA_000957275.1_ASM95727v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000958305.1_ASM95830v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001053595.1_ASM105359v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_001052095.1_ASM105209v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_001052565.1_ASM105256v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_001054275.1_ASM105427v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_001054315.1_ASM105431v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_001053235.1_ASM105323v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_001054405.1_ASM105440v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_001055555.1_ASM105555v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_001059975.1_ASM105997v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_002796425.1_ASM279642v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,?,?,?
GCA_002796525.1_ASM279652v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,?,?,?
GCA_002796405.1_ASM279640v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,?,?,?
GCA_002184625.2_ASM218462v2_genomic.fna,Klebsiella aerogenes,2015-XX-XX,?,USA,?,USA
GCA_002184575.2_ASM218457v2_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001974865.1_ASM197486v1_genomic.fna,Klebsiella aerogenes,2011-XX-XX,?,Argentina,?,Argentina
GCA_001006555.1_ASM100655v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,Malaysia,?,Malaysia
GCA_001662765.1_ASM166276v1_genomic.fna,Klebsiella aerogenes,2007-XX-XX,?,Brazil,?,Brazil
GCA_001021995.1_ASM102199v1_genomic.fna,Klebsiella aerogenes,2010-11-XX,?,USA,?,USA
GCA_000755545.1_ASM75554v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,?,?,?
GCA_001662705.1_ASM166270v1_genomic.fna,Klebsiella aerogenes,2007-XX-XX,?,Brazil,?,Brazil
GCA_001662695.1_ASM166269v1_genomic.fna,Klebsiella aerogenes,2006-XX-XX,?,Brazil,?,Brazil
GCA_001662715.1_ASM166271v1_genomic.fna,Klebsiella aerogenes,2012-XX-XX,?,Brazil,?,Brazil
GCA_000334515.1_ASM33451v1_genomic.fna,Klebsiella aerogenes,2012-XX-XX,?,France,?,France
GCA_001649605.2_ASM164960v2_genomic.fna,Klebsiella aerogenes,2011-XX-XX,?,Brazil,?,Brazil
GCA_001939895.1_ASM193989v1_genomic.fna,Klebsiella aerogenes,2016-XX-XX,?,China,?,China
GCA_001593585.2_ASM159358v2_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001559215.2_ASM155921v2_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_002591115.1_ASM259111v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_000383335.1_ASM38333v1_genomic.fna,Klebsiella aerogenes,XXXX-XX-XX,?,USA,?,USA
GCA_001571545.2_ASM157154v2_genomic.fna,Klebsiella aerogenes,1997-XX-XX,?,France,?,France
GCA_001011385.1_ASM101138v1_genomic.fna,Klebsiella aerogenes,2002-XX-XX,?,USA,?,USA
GCA_001011415.1_ASM101141v1_genomic.fna,Klebsiella aerogenes,2002-XX-XX,?,USA,?,USA
GCA_001011375.1_ASM101137v1_genomic.fna,Klebsiella aerogenes,2003-XX-XX,?,USA,?,USA
GCA_001011185.1_ASM101118v1_genomic.fna,Klebsiella aerogenes,2003-XX-XX,?,USA,?,USA
GCA_001011255.1_ASM101125v1_genomic.fna,Klebsiella aerogenes,2004-XX-XX,?,USA,?,USA
