NC_045512v2	REFERENCE
MT520428.1	CONF_A
MT520429.1	CONF_A
MT520386.1	CONF_A
MT520192.1	CONF_A
MT520178.1	CONF_A
MT520441.1	CONF_A
MT520375.1	CONF_A
MT520325.1	CONF_A
MT520446.1	CONF_A
MT520509.1	CONF_A
MT520408.1	CONF_A
MT520316.1	CONF_A
MT520517.1	CONF_A
MT520503.1	CONF_A
MT520459.1	CONF_A
MT520287.1	CONF_A
MT520191.1	CONF_A
MT520470.1	CONF_A
MT520341.1	CONF_A
MT520327.1	CONF_A
MT520547.1	CONF_A
MT520472.1	CONF_A
MT520396.1	CONF_A
MT520314.1	CONF_A
MT520388.1	CONF_A
MT520320.1	CONF_A
MT520282.1	CONF_A
MT520310.1	CONF_A
