strain	virus	date	region	country	division
NC_045512v2	ncov	2019-12-22	REFERENCE	China	?
MT520428.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520429.1	ncov	2020-03-08	CONF_A	USA	Massachusetts
MT520386.1	ncov	2020-03-09	CONF_A	USA	Massachusetts
MT520192.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520178.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520441.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520375.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520325.1	ncov	2020-03-04	CONF_A	USA	Massachusetts
MT520446.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520509.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520408.1	ncov	2020-03-06	CONF_A	USA	Massachusetts
MT520316.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520517.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520503.1	ncov	2020-03-05	CONF_A	USA	Massachusetts
MT520459.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520287.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520191.1	ncov	2020-03-04	CONF_A	USA	Massachusetts
MT520470.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520341.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520327.1	ncov	2020-03-08	CONF_A	USA	Massachusetts
MT520547.1	ncov	2020-03-11	CONF_A	USA	Massachusetts
MT520472.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520396.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520314.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520388.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520320.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
MT520282.1	ncov	2020-03-05	CONF_A	USA	Massachusetts
MT520310.1	ncov	2020-03-07	CONF_A	USA	Massachusetts
