strain	date	clade_membership	country	geoloc_9cat	region	sequenced_by_2cat	virus	accession	division	CLF_A_EXPOSURE	CONF_A_EXPOSURE
MA_MGH_00416	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00444	2020-03-08	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00003	2020-03-09	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00417	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00426	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00430	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00419	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00438	2020-03-04	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00418	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00439	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00428	2020-03-06	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00415	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00432	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00441	2020-03-05	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00422	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00427	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00440	2020-03-04	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00434	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00421	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00435	2020-03-08	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00005	2020-03-11	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00424	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00443	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00437	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00425	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00420	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00442	2020-03-05	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00431	2020-03-07	20A	USA	MA	North America	Broad	ncov		Massachusetts		YES
MA_MGH_00257	2020-04-06	20A	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00262	2020-04-06	20A	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00298	2020-04-01	20A	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00229	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00238	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00250	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00290	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00304	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00445	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00299	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00248	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00476	2020-04-04	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00296	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00289	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00265	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00318	2020-04-04	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00295	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00258	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00232	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00272	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00256	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00282	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00277	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00475	2020-04-04	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00283	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00243	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00305	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00234	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00273	2020-04-01	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00263	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00251	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00261	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00459	2020-04-04	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
MA_MGH_00254	2020-04-06	20C	USA	MA	North America	Broad	ncov		Massachusetts	CLF	
